cauhoi,cautraloi
Thời gian xác nhận nhập học trực tuyến là khi nào,Từ 15g00 ngày 26/6/2025 đến 16g00 ngày 1/7/2025.
Làm thế nào để xác nhận nhập học trực tuyến?,"Phụ huynh truy cập https://ts10.hcm.edu.vn, vào mục 'Tra cứu kết quả thi tuyển sinh 10' và đăng nhập."
"Sau khi xác nhận nhập học trực tuyến, cần làm gì tiếp theo?",In phiếu xác nhận đăng ký nhập học để nộp tại trường.
Danh sách trúng tuyển được xem ở đâu,",Danh sách trúng tuyển được đăng tại Văn phòng hoặc trên website thptmariecurie.hcm.edu.vn."
Làm thế nào để vào group Zalo tuyển sinh lớp 10?,"Quét mã QR theo STT, mỗi học sinh chỉ có một phụ huynh tham gia nhóm."
Mua hồ sơ nhập học ở đâu?,"Tại trường Marie Curie, cổng số 2, 159 Nam Kỳ Khởi Nghĩa, P. Xuân Hòa, TP.HCM."
Phụ huynh cần mang theo gì khi mua hồ sơ nhập học?,"Hướng dẫn chọn chương trình học, phiếu chọn chương trình học (bản photo), phiếu xác nhận đăng ký nhập học."
Trường tổ chức tư vấn trực tiếp khi nào?,"Tuyển sinh năm học 2025, tư vấn trực tiếp các nhày Ngày 4/7, 5/7, 7/7 và 8/7."
Tư vấn trực tiếp tại đâu,Tại sân trường THPT Marie Curie theo ngày quy định sẽ được thông báo trên website: https://thptmariecurie.hcm.edu.vn
Nội dung tư vấn trực tiếp gồm những gì?,"Giới thiệu chương trình học, hướng dẫn đăng ký nguyện vọng, hướng dẫn làm hồ sơ nhập học."
Khi nào nộp hồ sơ nhập học tại trường,Từ ngày 1/7/2025 đến 3/7/2025 và ngày 9/7/2025 đến 12/7/2025.
Hồ sơ nhập học gồm những gì,Phiếu xác nhận đăng ký nhập học in từ hệ thống Sở GD&ĐT và các giấy tờ hướng dẫn từ nhà trường.
Nhập thông tin lý lịch học sinh ở đâu,Trên hệ thống Vietschool theo hướng dẫn của nhà trường.
Website chính thức của trường Marie Curie là gì,http://thptmariecurie.hcm.edu.vn
Khi nào học sinh được xem danh sách xếp lớp?,"Sau ngày 12/7/2025, theo thông báo của trường."
Làm sao để xem danh sách xếp lớp?,"Đăng nhập hệ thống Vietschool bằng CCCD của học sinh, mật khẩu mặc định là 123."
Hạn chót nộp hồ sơ nhập học là khi nào,Trước 11g00 ngày 10/7/2025.
Danh mục sách giáo khoa lớp 10?,"Danh mục sách giáo khoa lớp 10 năm học 2025–2026 tại Trường THPT Marie Curie bao gồm: Ngữ văn 10 (Chân trời sáng tạo), Toán 10 (Chân trời sáng tạo), Tiếng Anh 10 (Friends Global), Giáo dục thể chất 10 – Bóng rổ hoặc Cầu lông (Kết nối tri thức), Giáo dục kinh tế và pháp luật 10 (Chân trời sáng tạo), Lịch sử 10 (Chân trời sáng tạo), Địa lí 10 (Cánh Diều), Vật lí 10 (Chân trời sáng tạo), Hoá học 10 (Cánh Diều), Sinh học 10 (Chân trời sáng tạo), Tin học 10 – Định hướng Tin học ứng dụng (Kết nối tri thức), Công nghệ 10 – Thiết kế và công nghệ hoặc Công nghệ trồng trọt (Kết nối tri thức), Âm nhạc 10 (Cánh Diều), Hoạt động trải nghiệm, hướng nghiệp 10 (Chân trời sáng tạo), và Giáo dục quốc phòng và an ninh 10 (Cánh Diều). Tổng cộng 17 đầu sách, thuộc các bộ: Chân trời sáng tạo, Cánh Diều, Kết nối tri thức với cuộc sống và Friends Global."
quy trình các bước nộp hồ sơ nhập học vào lớp 10 tại Trường THPT Marie Curie,"Khi đến trường nộp hồ sơ, PHHS phải mang theo phiếu xác nhận đăng ký nhập học trực tuyến, được in từ hệ thống Sở GD&ĐT, để nộp cùng hồ sơ. Phụ huynh học sinh (PHHS) nộp hồ sơ nhập học tại phòng A2 hoặc A4 theo số thứ tự được quy định->PHHS nộp các loại hồ sơ khác->PHHS liên hệ mua đồng phục tại phòng A5 hoặc A6 sau khi hoàn tất nộp hồ sơ"
Khi nào thì trường bắt đầu bán đồng phục,PHHS liên hệ mua đồng phục tại phòng A5 hoặc A6 ngay sau khi hoàn tất nộp hồ sơ tại trường.
địa chỉ trường ở đâu?,"159 Nam Kỳ Khởi Nghĩa, Phường Xuân Hòa, TP.HCM"
Trường THPT Marie Curie tuyển sinh lớp mấy trong năm học 2025-2026,Tuyển sinh lớp 10
Chương trình nhà trường gồm những gì,"Tin học quốc tế MOS, Tăng cường tiếng Anh, Dạy học theo định hướng STEM, Tiếng Anh với giáo viên bản ngữ, Chương trình 2 buổi/ngày, Hoạt động bán trú"
Trường nằm ở đâu?,"Số 159 Đường Nam Kỳ Khởi Nghĩa, Phường Xuân Hòa, Thành phố Hồ Chí Minh"
Học sinh có được học với giáo viên bản ngữ không?,"Có, học tiếng Anh với giáo viên bản ngữ"
Trường có tổ chức hoạt động trải nghiệm không?,"Có, thường xuyên tổ chức cho học sinh giao lưu văn hóa tại nhiều nước, đặc biệt là Nhật và Pháp"
Trường có tổ chức hoạt động ngoại khóa không,Có đi Đà Lạt giành cho lớp 11 và 12
Nhà vệ sinh của trường có đảm bảo vệ sinh không?,"năm học 2025-2026 sẽ tiến hành sửa chữa, tân trang, đảm bảo vệ sinh"
Phòng học có máy lạnh không,Tất cả phòng học đều trang bị máy lạnh
Trường có sân chơi thể thao không?,"Trường có 1 sân bóng rổ, 4 sân pickleball bên ngoài, 4 sân cầu sâu trong căn tin"
Sân thể thao có được chơi miễn phí không?,"Vào giờ thể dục, giờ học thì được phép dùng thoải mái còn lại phải thuê bằng tiền"
Trường có tất cả mấy khu?,"Có 6 khu tất cả: khu A, B, C, D, E, F"
"Trường có rộng như báo chí, mạng xã hôi nói không?","Báo chí, mạng xã hội luôn lấy từ nguồn xác thực nên độ chính xác rất cao"
Trong trường có tệ nạn xã hội không?,"Trường luôn có những bảo vệ, giám thị canh gác nghiêm ngặc nên rất hiếm xảy ra trường hợp này"
Có cần làm bài kiểm tra đầu vào khi mới vô trường không,Học sinh mới vào không phải làm bài kiểm tra này
Trường hay có những hoạt động gì vậy?,"Trường hay tổ chức các lớp học cảm tình đoàn, hội thao đầu năm, HƯỞNG ỨNG NGÀY PHÁP LUẬT VIỆT NAM…"
Học tiếng anh với giáo viên bản ngữ có dạy kiến thức về Ielts không?,"Điều này tùy thuộc vào nhóm môn học bạn lựa chọn, nhưng hầu hết các nhóm sẽ có kiến thức Ielts khi học với giáo viên bản ngữ"
Trường có hỗ trợ khi học sinh gặp vấn đề về tâm lý không?,"Trường có 1 phòng tư vấn tâm lý ở dãy F, gồm các chuyên gia tâm lý có thâm niên nên học sinh có thể yên tâm nhờ hỗ trợ"
Phòng học của trường có rộng không?,"Phòng học tương đối rộng, có thể chứa 40 tới 45 người"
Có được sử dụng điện thoại trong giờ học không?,"Được sử dụng nếu giáo viên cho phép hoặc dùng cho mục đích học tập, còn dùng cho việc khác trong giờ học có thể bị tịch thu, tùy theo giáo viên"
Có được sử dụng điện của nhà trường để sạc điện thoại không?,"Không được phép dùng với mục đích cá nhân, nếu cố tình sử dụng mà bị phát hiện sẽ bị tịch thu cục sạc"
Khi nào thì được dùng điện của phòng học để sạc?,"Khi đang trong giờ học, giờ thuyết trình… phải có sự cho phép của giáo viên"
Trường có tổ chức cho học sinh thi Ielts không,Trường Marie có thể đăng ký hộ cho học sinh thi IELTS Academic và General
Trường có tổ chức thi chứng chỉ MOS không?,"Trường có tổ chức cho học sinh thi MOS Powerpoint, Word, Excel tại phòng tin học theo từng năm"
Chứng chỉ MOS là gì vậy?,"Chứng chỉ MOS (Microsoft Office Specialist) là một chứng chỉ quốc tế do Microsoft cấp, công nhận khả năng sử dụng thành thạo các ứng dụng văn phòng của Microsoft Office như Word, Excel, PowerPoint, Access và Outlook. Nó được xem là một chuẩn đánh giá kỹ năng tin học văn phòng uy tín và được công nhận rộng rãi trên toàn cầu, bao gồm cả Việt Nam"
Có được học cả 4 kỹ năng trong IELTS với giáo viên bản ngữ không?,"Thông thường các kỹ năng trong IELTS sẽ chia đều ra cho giáo viên nước ngoài và giáo viên ngoại ngữ, có thể giáo viên nước ngoài sẽ dạy Speaking và Listening, còn giáo viên ngoại ngữ sẽ dạy Reading và Writing"
Trường có tổ chức dạy học SAT không,Hiện tại trường chưa tổ chức dạy học chứng chỉ này
"""Ngoài chứng chỉ IELTS, trường có tổ chức dạy chứng chỉ ngoại ngữ nào nữa không?""","Hiện tại chỉ có chứng chỉ IELTS là được trực tiếp giảng dạy ở trường, trong tương lai sẽ mở thêm nhiều chương trình hơn nữa để giảng dạy các chứng chỉ quốc tế"
Trường đã thành lập được bao nhiêu năm rồi,"Tính tới năm 2025 là đã hơn 105 năm, cụ thể là 106 năm"
Trường có nhiều câu lạc bộ không?,"Trường mở rất nhiều các câu lạc bộ như: CLB Tiếng Anh, Malava chuyên về múa, CLB Hóa học, CLB Vật Lý, CLB Bóng rổ, …"
Đồ ăn ở căn tin có đảm bảo vệ sinh an toàn thực phẩm không?,"Dựa theo nhiều chia sẻ của cựu học sinh Marie, đồ ăn rất ngon và an toàn, chưa từng có trường hợp bị ngộ độc"
Giá cả ở căn tin có mắc không,Giá sẽ dao động từ 20.000 đồng cho tới 40.000 đồng tùy theo món
Các học sinh tốt nghiệp trường có kiếm được việc làm ổn định hay vô đại học tốt không?,"Điều này tùy thuộc vào khả năng tiếp thu kiến thức, ứng biến xử lí tình huống và nắm bắt cơ hội của mỗi người mà sẽ có những con đường riêng dành cho họ"
Trường có tổ chức lớp học dành cho học sinh thi bổ sung vào trường chuyên không?,"Trường hiện đang không tổ chức lớp này, các bạn thi bổ sung sẽ phải tự học."
Trường có tổ chức các cuộc thi nghiên cứu khoa học không?,"Trường có hợp tác với nhiều phía và tổ chức các cuộc thi khoa học, không rõ thời gian cụ thể nhưng sẽ có"
Làm mất thẻ xe ở trường thì sẽ bị sao,Làm mất thẻ sẽ phải trình căn cước công dân và nộp 50.000 thì mới được phép lấy xe
Trường có cuộc thi tiếng anh tư duy phản biện không?,"Trường có tổ chức cuộc thi này, thường là vào đầu hoặc giữa năm, có giải thưởng."
Sách giáo khoa của trường gồm những bộ nào?,"Tùy vào nhóm môn học mà bạn chọn, sẽ có bộ riêng, gồm sách chân trời sáng tạo và cánh diều"
Trường có bán dụng cụ thể thao không?,"Ở văn phòng phẩm của trường khu D có bán cầu đá, cầu lông, hiện không có vật dụng khác"
Tham gia hoạt động nhận được lợi ích gì?,"Có thể làm đẹp học bạ, tăng điểm thi đua tuần của lớp mình, được nhận giấy khen và tuyên dương,…"
Đồ ăn ở căn tin có đảm bảo vệ sinh an toàn thực phẩm không?,"Đồ ăn và chất lượng rất đảm bảo an toàn,nhưng khẩu vị sẽ tùy thuộc vào mỗi người cảm thấy ngon hay dở"
Ăn trưa xong có được phép không ngủ và đi chơi thể thao không?,"Sau khi ăn trưa sẽ có khoảng 30 phút để học sinh tiêu hóa và đi vệ sinh, lúc này có thể vận động 1 chút nhưng sau 11h30 phải có mặt ở phòng ngủ"
Ngủ trưa có được sạc điện thoại bằng ổ cắm nhà trường không?,"Thông thường sẽ được phép, nhưng tốt hơn nên xin giáo viên canh bán trú"
Giờ học MOS hoặc tin học ở phòng máy có được chơi game không?,"Nếu học xong bài và giáo viên cho phép thì được chơi game, có thể tải game nếu muốn"
Có thể mượn sách trong thư viện bao lâu?,"Khoảng 1 tới 2 tuần nếu có giấy mượn sách thư viện cấp, nên trả lại đúng hạn nếu không sẽ ảnh hưởng tới khả năng mượn sách trong tương lai"
Những nhà vệ sinh nào an toàn để đi?,"Những nhà vệ sinh khu F trên lầu thường vắng và sạch, có thể dùng thoải mái"
Trường có phòng tắm dành cho học sinh không?,"Trường không có phòng tắm, học sinh hay đổ mồ hôi nên mang theo 2 áo để thay khi trời nóng"
Trường có phòng gym không?,"Kế bên trường có phòng gym THE ONE, có thể qua đó tập khi rảnh nhưng tốn phí, giờ học thể dục sẽ có 4-5 buổi qua phòng gym để học"
Tập gym giờ thể dục có phải trả tiền không?,"Không phải trả tiền, nhà trường đã lo hết "
Bị tịch thu điện thoại thì bao lâu mới được lấy lại?,"Tùy vào lí do bị tịch thu mà điện thoại có thể bị giam trong 1 tới 2 ngày, có thể lên phòng giám thị để hỏi."
Những quy định về giờ vào học buổi sáng và buổi chiều tại trường THPT Marie Curie.,"Buổi sáng: giờ đóng cổng 6g55, giờ vào lớp 7g10. Buổi chiều: giờ đóng cổng 12g40, giờ vào lớp 12g55."
Học sinh xin nghỉ học tại trường THPT Marie Curie phải tuân thủ những yêu cầu gì,",Phải xin phép qua ứng dụng VietSchool hoặc nộp đơn xin phép trực tiếp tại văn phòng."
Những quy định của trường về việc học sinh đi học trễ,",Nếu đi học trễ lần thứ sáu hoặc đi trễ lần thứ 10 trong học kỳ thì xếp loại rèn luyện CHƯA ĐẠT."
Những yêu cầu về việc mặc đồng phục khi đến trường,"Nam: áo sơ mi trắng, quần xanh đậm, dây lưng đen, giày bata. Nữ: áo dài trắng, quần dài trắng, giày dép kín."
Những yêu cầu về việc giữ gìn vệ sinh lớp học theo nội quy trường.,"Phải giữ lớp học sạch sẽ, không vứt rác, không viết bậy lên bàn ghế."
Đồng phục của trường vô năm có bán tiếp không,Vô năm đồng phục sẽ bán ở phòng thư viện
có được tham gia nhiều câu lạc bộ cùng 1 lúc không,"Có, nếu bạn có đủ thời gian cho các câu lạc bộ yêu thích, cứ việc tham gia"
trong năm trường có tổ chức các buổi họp mặt câu lạc bộ không,"Thường cái này sẽ do trưởng câu lạc bộ tổ chức vào các ngày cuối tuần, trong tuần có thể có nhưng rất ít"
câu lạc bộ bóng rổ hoặc cầu lông có được thuê sân miễn phí không,cả 2 câu lạc bộ đều phải bỏ tiền túi của thành viên để thuê sân
có câu lạc bộ pickleball không,hiện câu lạc bộ này chưa được thành lập
vắng học không phép quá bao nhiêu buổi sẽ bị hạ hạnh kiểm,vắng không phép quá 5 buổi trong 1 học kỳ sẽ bị hạ hạnh kiểm
vắng học có phép bao nhiêu buổi sẽ bị hạ hạnh kiểm,Khoảng 10 buổi
"Trong 1 học kỳ, bị bệnh xin nghỉ có bị trừ điểm tập thể không?","1 bạn bị bệnh nghỉ có phép thì bị trừ 0.5/lần, còn không phép thì 1/lần"
Mượn sách của thư viện nhưng lỡ làm mất thì phải làm sao?,Xin lỗi thư viện và mua cuốn mới để đền bù là cách phù hợp nhất
Trường có kiểm tra cặp đột xuất bao nhiêu lâu 1 tháng?,"Tầm 2 tuần/lần, giám thị sẽ kiểm tra cặp để check có đồ ăn nước uống giấu trong đó không"
"Mang đồ ăn, nước uống vô lớp có bị phạt không?",Nếu bị bắt gặp bởi giám thị hoặc Gv khó tính sẽ bị ghi phiếu báo về phụ huynh
Trường có lớp tích hợp không?,Hiện trường chưa mở lớp này
Làm sao để thành 1 trưởng ban câu lạc bộ?,"Tham gia nhiều buổi họp mặt, nhiều hoạt động do CLB tổ chức hằng tháng sẽ có cơ hội"
Đồ thể dục của trường qua năm sau có đổi màu không,"Không có, đồ thể dục năm lớp 10 màu đỏ thì 11 và 12 cũng màu đỏ"
Trường có tổ chức thi tuyển với trường chuyên không?,"Không có, trường chỉ tổ chức thi tuyển với các trường thường"
Tên cũ của trường Marie Curie,"Trước đây có những tên là: Trước 1975 là Lycée Marie Curie,  sau 1975 là Trường Phổ thông cấp 2-3 Marie Curie, 1978 là Trường PTTH Marie Curie. "
Nhà khoa học Marie Curie có từng dạy ở đây không,"Theo cá sự kiện lịch sử, đây là trường thời Pháp thuộc tại Việt Nam nên bà Marie Curie không dạy ở đây"
Muốn xin phép về nhà do bị bệnh phải làm sao,Đến phòng y tế gần căn tin để xin giấy đi về
Có được sài TV của trường vào giờ ra chơi không,TV của trường không kết nối wifi nên học sinh có thể dùng máy tính trình chiếu lên TV
Có lớp nào học trộn lẫn thời khóa biểu và mình phải qua lớp khác học không,"Tùy theo thời khóa biểu mà 1 số lớp sẽ phải đi qua lớp khác học sau giờ ra chơi hoặc nghỉ trưa, trong 2-3 tiết"
"""Có phải học vào các ngày T7, Chủ nhật không?""","Tùy theo thời khóa biểu mà 1 số lớp phải học online sáng thứ 7, còn chủ nhật thì không"
Sân pickleball có được dùng miễn phí vào giờ thể dục và ra về không,Được dùng trong cả giờ thể dục và ra về
Giải cầu lông hoặc bóng rổ... Cấp trường nếu thắng có được tiền không,Không được tiền mà thay vào đó sẽ có huân chương và được vinh danh
Lúc bị cấm túc có được dùng điện thoại không,Dùng điện thoại để tra thông tin thì được nhưng phải xin phép người giám sát
Làm đổ nước trong giờ học có bị vấn đề về hạnh kiểm không,"Nếu lả nước ngọt hoặc trà sữa thì nên nhanh dọn dẹp, còn nước uống thì không sao (trường hợp giám thị không biết)"
Căn tin trường có bán đồ ăn sáng đủ năng lượng để dùng cho 4 tiết đầu không ạ?,"Đồ ăn rất đa dạng và cung cấp đủ năng lượng cần thiết cho cả buổi sáng, rất đáng tin cậy"
Trong giờ học có được ra ngoài để in tài liệu mới không,Nếu có sự cho phép của giáo viên thì có thể
Học khoảng bao lâu thì thi giữa HK vậy,Khoảng 2 tháng sẽ thi giữa học kỳ
Sau khi học gym vào tiết thể dục thì giờ ra chơi có được phép quay lại tập tiếp không,Không được vì sẽ có những hs trốn ra ngoài để trốn học nên cửa sẽ khóa sau khi học xong
Gối ngủ có được mang về nhà không,Nếu bạn sợ gối ngủ bị người khác làm bẩn thì có thể mang về nhà sau khi ngủ dậy
Giờ ngủ có được xem điện thoại không,Được nhưng phải tắt tiếng và không làm phiền người khác
Có kỳ thi chọn học sinh giỏi của nhưng môn nào?,"Trừ môn giáo dục quốc phòng, giáo dục kinh tế pháp luật và thể dục, các môn còn lại đều tuyển chọn HSG cấp trưởng"
Trường có học bổng du học không ạ,Có nhưng ít ai lấy được
Trường có mở lớp dạy tiếng Trung Quốc không ạ?,"Hiện tại chỉ  có tiếng ANH, PHÁP VÀ NHẬT là được giảng dạy tại trường"
Sau khi kiểm tra giữa kì có họp phụ huynh không?,"Không có, cuối kỳ 1 và 2 mới họp"
Mua đồng phục không vừa size có được đổi lại không?,"1 thời gian ngắn sau khi mua thì được, còn chờ vô năm thì có thể là không"
Điểm chuẩn của trường qua các năm là bao nhiêu?,"Điểm chuẩn của trường các năm 2022. 2023. 2024 theo nguyện vọng 1 lần lượt là: 19,5 - 20 -19,75"
Khi nào có kết quả thi tuyển sinh lớp 10?,Kỳ thi thường diễn ra đầu tháng 6 hằng năm và kết quả được công bố sau khoảng hai đến ba tuần. Điểm chuẩn của từng trường sẽ được Sở Giáo dục và Đào tạo công bố vào cuối tháng 6 hoặc đầu tháng 7
Học sinh được đăng ký tối đa bao nhiêu nguyện vọng?,Thông thường học sinh được đăng ký tối đa ba nguyện vọng vào các trường THPT công lập không chuyên. Riêng lớp chuyên hoặc tích hợp sẽ có quy định riêng về số nguyện vọng
Có được đổi nguyện vọng sau khi nộp hồ sơ không?,"Học sinh chỉ được đổi nguyện vọng một lần trong thời gian cho phép theo thông báo của Sở Giáo dục và Đào tạo, thường là trước khi thi."
Trường có cho học sinh sử dụng điện thoại hay không?,Học sinh không được phép sử dụng điện thoại trong giờ học. Giờ chơi học sinh có thể sử dụng.
Học sinh có được đổi lớp học không?,Học sinh có nguyện vọng đổi lớp sẽ làm đơn sau khi kết thúc năm học.
Trường có bãi xe học sinh hay không?,"Có, trường có bãi xe có thu phí do liên kết với một đơn vị ngoài trường học. Quy định bãi xe ở trường là không được giữ xe 100cc của học sinh."
Giáo viên dạy có tốt không?,"Trường có hơn 50% thầy cô đạt trình độ thạc sĩ, vượt mức quy định của ngành giáo dục. Chất lượng dạy học hoàn toàn đáng tin cậy."
